DATASET_SYMBOL
#Symbol datasets allow the display of various symbols on the branches of the tree. For each node, one or more symbols can be defined.
#Each symbol's color, size and position along the branch can be specified.

#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_symbols

#dataset color (can be changed later)
COLOR #ffff00

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#


#largest symbol will be displayed with this size, others will be proportionally smaller.
MAXIMUM_SIZE 10


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
#the following fields are required for each node:
#ID,symbol,size,color,fill,position
#symbol should be a number between 1 and 5:
#1: rectangle
#2: circle
#3: star
#4: left pointing triangle
#5: right pointing triangle

#size can be any number. Maximum size in the dataset will be displayed using MAXIMUM_SIZE, while others will be proportionally smaller
#color can be in hexadecimal, RGB or RGBA notation. If RGB or RGBA are used, dataset SEPARATOR cannot be comma.
#fill can be 1 or 0. If set to 0, only the outline of the symbol will be displayed.
#position is a number between 0 and 1 and defines the position of the symbol on the branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)

DATA
86665 1 31 rgba(151,164,6,0.9) 0 0.22 label_86665
86665 3 18 rgba(243,36,36,0.9) 0 0.51 label_86665
I127 3 10 rgba(11,207,21,0.3) 0 0.61 label_I127
I127 1 16 rgba(12,129,143,0.4) 1 0.16 label_I127
I127 5 22 rgba(165,1,91,0.8) 1 0.32 label_I127
I126 2 40 rgba(96,212,28,0.6) 1 0.69 label_I126
I126 1 34 rgba(53,193,85,0.8) 1 0.5 label_I126
I125 3 28 rgba(254,238,154,0.7) 1 0.2 label_I125
226900 5 32 rgba(21,55,23,0.7) 0 0.8 label_226900
226900 1 33 rgba(93,84,61,0.3) 1 0.56 label_226900
222523 2 32 rgba(69,36,155,0.4) 0 0.39 label_222523
198094 2 46 rgba(194,51,174,0.8) 0 0.17 label_198094
198094 3 19 rgba(219,76,225,0.6) 0 0.9 label_198094
198094 5 29 rgba(232,74,24,0.9) 1 0.14 label_198094
198094 3 22 rgba(4,248,6,0.2) 1 0.05 label_198094
1423 5 16 rgba(118,80,213,0.8) 1 0.74 label_1423
1423 5 15 rgba(221,62,49,0.1) 1 0.6 label_1423
1423 2 19 rgba(69,135,67,0.8) 1 0.51 label_1423
I132 4 27 rgba(2,209,105,0.4) 0 0.13 label_I132
I132 4 15 rgba(215,50,210,0.1) 0 0.74 label_I132
I132 1 10 rgba(215,40,52,0.2) 0 0.17 label_I132
I132 1 24 rgba(161,98,57,0.4) 1 0.7 label_I132
I131 2 50 rgba(130,25,125,0.9) 0 0.7 label_I131
I131 3 33 rgba(107,164,169,0.6) 0 0.74 label_I131
I131 4 38 rgba(26,83,126,0.2) 1 0.38 label_I131
I131 1 40 rgba(231,181,228,0.3) 1 0.74 label_I131
I131 1 10 rgba(2,61,236,0.9) 0 0.48 label_I131
196620 5 19 rgba(101,5,55,1.0) 1 0.82 label_196620
I130 4 40 rgba(192,119,28,0.9) 1 0.54 label_I130
158879 3 26 rgba(37,29,128,0.8) 1 0.04 label_158879
158879 5 30 rgba(111,120,48,0.5) 0 0.37 label_158879
158879 5 11 rgba(189,166,187,0.2) 0 0.72 label_158879
158878 3 18 rgba(189,140,229,0.7) 0 0.84 label_158878
158878 4 27 rgba(155,202,58,0.2) 0 0.48 label_158878
158878 4 39 rgba(224,74,195,0.4) 0 0.71 label_158878
158878 3 49 rgba(230,15,7,0.9) 0 0.32 label_158878
158878 1 19 rgba(76,122,29,0.3) 1 0.12 label_158878
1282 1 37 rgba(204,116,244,1.0) 0 0.87 label_1282
1282 5 46 rgba(142,95,161,0.9) 0 0.55 label_1282
1282 3 46 rgba(46,219,154,0.3) 1 0.76 label_1282
I145 5 41 rgba(159,99,197,0.6) 1 0.85 label_I145
I143 2 10 rgba(114,168,81,0.5) 1 1 label_I143
I143 3 46 rgba(244,216,156,0.9) 0 0.29 label_I143
I143 5 37 rgba(198,169,202,0.6) 1 0.44 label_I143
I143 4 12 rgba(186,20,101,0.3) 0 0.86 label_I143
I142 1 20 rgba(158,246,201,0.1) 1 0.62 label_I142
I142 4 46 rgba(104,98,246,0.7) 0 0.57 label_I142
I142 4 43 rgba(153,83,157,0.7) 1 0.74 label_I142
I142 3 21 rgba(235,177,214,0.2) 1 0.67 label_I142
I141 1 46 rgba(49,93,81,0.3) 0 0.81 label_I141
I139 4 45 rgba(123,30,173,0.7) 1 0.09 label_I139
I139 4 10 rgba(94,128,105,0.9) 0 0.56 label_I139
I139 3 40 rgba(204,100,190,0.5) 0 0.28 label_I139
I139 3 15 rgba(173,134,229,0.4) 0 0.73 label_I139
I138 2 15 rgba(37,188,169,0.9) 1 0.95 label_I138
I134 2 22 rgba(51,166,69,0.3) 1 0.95 label_I134
I134 4 47 rgba(110,238,221,0.7) 0 0.05 label_I134
I134 5 28 rgba(135,129,22,0.7) 0 0.97 label_I134
I134 1 48 rgba(26,21,65,0.6) 1 0.76 label_I134
216495 3 12 rgba(107,107,238,0.1) 1 0.64 label_216495
216495 1 28 rgba(45,244,248,1.0) 1 0.43 label_216495
216495 4 38 rgba(241,118,25,0.9) 0 0.81 label_216495
216495 2 49 rgba(93,237,184,0.4) 0 0.22 label_216495
216466 2 28 rgba(163,90,187,0.8) 0 0.99 label_216466
I137 3 42 rgba(156,249,255,0.5) 0 0.08 label_I137
1314 1 48 rgba(130,74,179,0.5) 0 0.85 label_1314
1314 4 45 rgba(180,108,53,0.3) 0 0.47 label_1314
1314 5 37 rgba(21,103,249,1.0) 0 0.03 label_1314
1314 5 25 rgba(221,111,102,0.8) 1 0.31 label_1314
1314 2 22 rgba(144,251,108,0.2) 1 0.96 label_1314
I136 3 44 rgba(196,115,69,0.6) 1 0.66 label_I136
I136 1 26 rgba(123,233,43,0.3) 0 0.79 label_I136
I136 2 12 rgba(118,37,23,0.5) 0 0.3 label_I136
I136 2 23 rgba(208,47,218,0.5) 0 0.88 label_I136
186103 2 42 rgba(185,77,128,0.6) 0 0.88 label_186103
186103 3 26 rgba(236,1,105,0.4) 0 0.61 label_186103
I135 1 44 rgba(104,77,23,0.7) 1 0.13 label_I135
I135 1 37 rgba(241,91,192,0.2) 1 0.94 label_I135
I135 3 45 rgba(180,202,237,0.4) 1 0.37 label_I135
198466 1 27 rgba(194,247,253,0.7) 0 0.47 label_198466
198466 2 26 rgba(100,64,211,0.3) 0 0.53 label_198466
198466 4 25 rgba(9,63,230,0.3) 0 0.67 label_198466
198466 4 47 rgba(161,117,252,0.5) 1 0.08 label_198466
193567 2 19 rgba(24,13,49,0.6) 0 0.71 label_193567
193567 3 36 rgba(215,12,215,0.6) 0 0.01 label_193567
193567 1 12 rgba(167,230,148,0.3) 1 0.47 label_193567
193567 1 26 rgba(214,162,243,0.3) 1 0.09 label_193567
193567 3 40 rgba(251,115,104,0.6) 0 0.97 label_193567
1309 3 23 rgba(73,99,107,0.7) 0 0.86 label_1309
1309 5 21 rgba(190,166,98,0.1) 1 0.53 label_1309
1309 2 34 rgba(55,252,184,0.7) 0 0.74 label_1309
1309 2 19 rgba(194,84,18,0.4) 0 0.78 label_1309
1309 3 33 rgba(16,220,199,0.8) 1 0.33 label_1309
I140 1 30 rgba(245,109,12,0.5) 1 0.46 label_I140
I140 5 13 rgba(210,12,232,0.6) 0 0.49 label_I140
171101 3 12 rgba(130,13,184,0.7) 0 0.57 label_171101
171101 1 26 rgba(13,203,232,0.5) 1 0.29 label_171101
1313 1 24 rgba(122,50,30,0.8) 1 0.7 label_1313
1360 3 11 rgba(219,34,103,0.7) 1 0.46 label_1360
1351 1 14 rgba(193,100,192,0.4) 1 0.27 label_1351
1351 3 40 rgba(142,84,74,0.6) 1 0.29 label_1351
1351 4 28 rgba(76,119,209,1.0) 0 0.33 label_1351
1351 2 32 rgba(94,130,243,0.7) 0 0.9 label_1351
1351 4 17 rgba(74,115,132,0.2) 1 0.32 label_1351
I144 4 28 rgba(203,152,178,0.9) 0 0.42 label_I144
I144 1 10 rgba(51,167,5,0.6) 0 0.45 label_I144
33959 1 19 rgba(10,114,68,1.0) 0 0.41 label_33959
33959 1 24 rgba(165,187,235,0.4) 0 0.87 label_33959
1590 4 20 rgba(150,109,221,0.3) 0 0.22 label_1590
I189 3 32 rgba(215,74,86,0.6) 0 0.34 label_I189
I189 5 31 rgba(91,207,228,0.3) 0 0.31 label_I189
I171 3 18 rgba(81,69,55,0.6) 0 0.97 label_I171
I171 3 15 rgba(234,211,91,0.3) 1 0.01 label_I171
I171 2 13 rgba(205,218,120,1.0) 0 0.21 label_I171
I170 1 30 rgba(177,76,190,0.7) 1 0.07 label_I170
I170 1 37 rgba(106,20,193,0.9) 0 0.41 label_I170
I170 1 16 rgba(124,15,148,0.6) 0 0.92 label_I170
I169 3 32 rgba(213,32,80,0.8) 0 0.51 label_I169
I169 3 23 rgba(148,147,64,0.2) 1 0.9 label_I169
I151 2 32 rgba(235,162,1,0.7) 0 0.65 label_I151
I151 3 10 rgba(161,22,147,0.2) 1 0.19 label_I151
I151 1 37 rgba(224,196,94,0.3) 1 0.69 label_I151
I151 2 40 rgba(101,149,205,0.2) 1 0.71 label_I151
I151 3 18 rgba(200,234,225,0.6) 1 0.85 label_I151
296543 4 37 rgba(186,93,122,0.1) 0 0.45 label_296543
I150 3 14 rgba(88,130,197,0.8) 1 0.31 label_I150
I150 2 16 rgba(3,130,255,0.2) 0 0.74 label_I150
I150 5 12 rgba(46,149,237,1.0) 0 0.65 label_I150
I150 5 34 rgba(81,119,145,1.0) 0 0.45 label_I150
I150 5 14 rgba(81,162,43,0.4) 0 0.14 label_I150
237895 1 11 rgba(59,161,105,1.0) 1 0.78 label_237895
237895 1 38 rgba(174,165,110,0.8) 0 0.08 label_237895
237895 4 15 rgba(126,209,127,0.6) 1 0.04 label_237895
36329 5 10 rgba(96,219,181,0.6) 0 0.85 label_36329
I168 4 41 rgba(128,210,37,0.5) 1 0.48 label_I168
I168 5 41 rgba(244,177,229,0.9) 1 0.59 label_I168
I153 5 12 rgba(180,98,168,0.5) 0 0.27 label_I153
I153 3 44 rgba(177,171,78,1.0) 1 0.01 label_I153
I153 2 15 rgba(173,194,86,0.4) 0 0.42 label_I153
I152 5 14 rgba(218,96,124,0.9) 1 0.37 label_I152
4530 4 45 rgba(211,118,46,0.8) 0 0.63 label_4530
4530 4 49 rgba(150,194,217,0.4) 1 0.33 label_4530
4530 1 24 rgba(97,17,198,0.8) 0 0.99 label_4530
4530 1 47 rgba(31,215,24,0.8) 0 0.32 label_4530
3702 5 11 rgba(199,95,215,0.5) 0 0.56 label_3702
3702 4 26 rgba(112,166,141,0.6) 0 0.84 label_3702
3702 3 40 rgba(79,244,59,0.4) 1 0.51 label_3702
3702 3 35 rgba(225,13,112,0.9) 0 0.27 label_3702
45157 4 46 rgba(132,152,5,0.1) 0 0.03 label_45157
45157 5 50 rgba(0,103,94,0.6) 1 1 label_45157
I167 3 37 rgba(117,107,232,0.7) 0 0.57 label_I167
I167 3 50 rgba(201,236,72,0.8) 0 0.27 label_I167
I167 5 27 rgba(133,49,68,0.6) 0 0.55 label_I167
I167 3 33 rgba(43,246,121,0.8) 1 0.48 label_I167
I167 3 17 rgba(180,116,103,0.9) 0 0.24 label_I167
44689 3 24 rgba(228,146,125,0.8) 1 0.29 label_44689
44689 4 17 rgba(109,199,145,0.3) 0 0.27 label_44689
44689 1 33 rgba(167,47,28,0.9) 0 0.73 label_44689
I166 5 16 rgba(185,32,240,0.5) 1 0.12 label_I166
I166 5 42 rgba(25,26,171,0.9) 1 0.11 label_I166
I155 1 38 rgba(125,229,51,0.3) 0 1 label_I155
I155 1 47 rgba(74,18,31,0.9) 1 0.93 label_I155
I155 4 41 rgba(39,153,228,0.4) 0 0.02 label_I155
I155 5 10 rgba(11,156,44,0.2) 1 0.38 label_I155
I155 5 43 rgba(223,195,150,0.3) 1 0.7 label_I155
I154 3 33 rgba(54,154,180,0.1) 0 0.75 label_I154
I154 4 50 rgba(71,24,178,0.9) 0 0.44 label_I154
I154 3 34 rgba(227,53,239,0.6) 0 0.79 label_I154
I154 3 49 rgba(137,227,163,0.3) 0 0.51 label_I154
33169 2 49 rgba(60,8,66,0.5) 0 0.57 label_33169
33169 1 25 rgba(15,27,75,0.8) 1 0.96 label_33169
33169 3 18 rgba(170,165,82,0.6) 1 0.85 label_33169
33169 3 32 rgba(160,162,101,0.7) 0 0.97 label_33169
4932 1 26 rgba(224,216,117,0.9) 0 0.55 label_4932
4932 4 46 rgba(66,131,186,0.5) 1 0.91 label_4932
4932 5 14 rgba(101,140,61,0.5) 1 0.7 label_4932
4932 2 24 rgba(118,250,41,0.6) 0 0.67 label_4932
4896 1 16 rgba(88,12,181,0.6) 1 0.25 label_4896
4896 2 30 rgba(69,233,35,0.1) 1 0.49 label_4896
4896 1 34 rgba(244,199,107,0.5) 1 0.07 label_4896
4896 2 27 rgba(34,173,9,0.8) 1 0.87 label_4896
I165 2 30 rgba(141,41,58,0.5) 0 0.22 label_I165
I165 1 25 rgba(140,5,55,0.9) 1 0.9 label_I165
I165 4 27 rgba(243,209,216,0.8) 1 0.22 label_I165
I165 3 41 rgba(162,6,90,0.5) 1 0.93 label_I165
I165 1 40 rgba(84,42,82,0.8) 1 0.04 label_I165
I163 2 10 rgba(244,29,74,0.7) 0 0.84 label_I163
I163 4 16 rgba(177,9,143,0.3) 0 0.6 label_I163
I156 4 19 rgba(211,81,238,0.1) 1 0.29 label_I156
180454 1 23 rgba(76,99,223,1.0) 1 0.84 label_180454
180454 4 19 rgba(201,247,94,0.5) 1 0.8 label_180454
180454 1 11 rgba(57,19,251,0.9) 1 0.02 label_180454
7227 3 34 rgba(108,234,89,0.6) 1 0.47 label_7227
7227 1 46 rgba(56,140,13,0.4) 1 0.35 label_7227
7227 1 40 rgba(27,46,161,0.8) 0 0.62 label_7227
7227 3 31 rgba(139,49,218,0.4) 1 0.48 label_7227
7227 1 33 rgba(25,238,139,0.1) 0 1 label_7227
I162 5 16 rgba(164,39,97,0.7) 0 0.53 label_I162
I157 4 47 rgba(160,223,96,0.2) 1 0.51 label_I157
31033 3 31 rgba(76,63,135,0.2) 1 0.68 label_31033
7955 1 29 rgba(171,66,221,0.6) 0 0.03 label_7955
7955 5 27 rgba(18,203,210,0.8) 1 0.42 label_7955
7955 5 38 rgba(6,139,169,0.5) 1 0.63 label_7955
7955 5 50 rgba(247,83,133,0.9) 0 0.53 label_7955
I161 5 40 rgba(12,143,30,0.5) 0 0.9 label_I161
I161 4 33 rgba(193,194,101,0.9) 0 0.72 label_I161
I161 3 14 rgba(147,54,244,0.9) 1 0.63 label_I161
I161 5 44 rgba(27,53,230,0.4) 1 0.61 label_I161
I160 5 47 rgba(77,244,83,0.3) 1 0.94 label_I160
I158 1 14 rgba(201,242,191,0.9) 0 0.63 label_I158
I158 2 29 rgba(222,165,241,0.1) 1 0.3 label_I158
10116 3 32 rgba(0,53,193,0.1) 1 0.05 label_10116
10116 3 50 rgba(93,235,58,0.7) 1 0.1 label_10116
10116 3 28 rgba(64,32,243,0.4) 0 0.21 label_10116
10116 4 27 rgba(160,77,69,0.3) 0 0.75 label_10116
10090 4 13 rgba(195,17,203,0.4) 1 0.73 label_10090
10090 1 16 rgba(98,81,131,0.6) 0 0.56 label_10090
10090 4 25 rgba(170,167,158,1.0) 1 0.94 label_10090
I159 3 34 rgba(253,226,36,0.4) 1 0.3 label_I159
I159 2 18 rgba(221,9,65,0.2) 0 0.4 label_I159
I159 3 35 rgba(95,174,195,0.6) 1 0.22 label_I159
I159 3 11 rgba(34,245,1,0.6) 1 0.57 label_I159
9606 4 20 rgba(199,22,77,0.6) 1 1 label_9606
9606 4 40 rgba(121,189,177,0.9) 1 0.74 label_9606
9606 2 42 rgba(246,140,230,0.4) 1 0.64 label_9606
9606 2 21 rgba(235,164,158,0.9) 0 0.37 label_9606
9598 1 38 rgba(228,20,126,0.2) 1 0.11 label_9598
9598 5 13 rgba(226,90,28,0.4) 0 0.74 label_9598
9598 2 38 rgba(19,218,186,0.6) 1 0.56 label_9598
9598 4 14 rgba(199,224,159,0.9) 1 0.77 label_9598
9031 3 32 rgba(93,1,176,0.3) 1 0.13 label_9031
9031 2 17 rgba(95,212,18,0.9) 0 0.62 label_9031
9031 3 21 rgba(1,132,194,0.7) 1 0.86 label_9031
I164 1 46 rgba(226,65,251,0.6) 1 0.24 label_I164
I164 5 28 rgba(123,185,162,0.8) 1 0.07 label_I164
6239 2 13 rgba(137,7,236,0.7) 0 0.43 label_6239
6238 1 14 rgba(70,100,248,1.0) 1 0.83 label_6238
6238 5 20 rgba(214,95,205,0.1) 1 0.94 label_6238
6238 2 42 rgba(165,129,211,0.8) 1 0.49 label_6238
6238 2 43 rgba(244,211,78,0.4) 1 0.99 label_6238
5664 3 13 rgba(134,135,180,0.8) 0 0.19 label_5664
5664 3 31 rgba(171,53,23,0.6) 1 0.18 label_5664
5664 2 40 rgba(155,100,0,0.7) 0 0.86 label_5664
5664 3 31 rgba(138,96,131,0.4) 0 0.03 label_5664
5664 5 16 rgba(80,240,42,0.7) 1 0.45 label_5664
184922 2 16 rgba(39,27,68,1.0) 0 0.47 label_184922
184922 5 18 rgba(110,144,176,0.9) 0 0.97 label_184922
184922 5 38 rgba(182,91,83,0.9) 0 0.23 label_184922
184922 1 48 rgba(239,188,150,0.2) 1 0.88 label_184922
I188 2 26 rgba(4,191,196,0.9) 0 0.31 label_I188
I175 3 44 rgba(77,217,114,0.6) 0 0.59 label_I175
I175 3 24 rgba(32,83,126,0.3) 0 0.88 label_I175
160232 3 43 rgba(112,197,44,0.5) 0 0.9 label_160232
160232 3 39 rgba(74,79,177,0.6) 1 0.43 label_160232
160232 3 25 rgba(131,52,217,0.6) 1 0.9 label_160232
I174 5 13 rgba(225,66,210,0.6) 1 0.98 label_I174
I174 5 16 rgba(13,116,222,0.3) 1 0.09 label_I174
I173 3 47 rgba(191,126,238,0.6) 0 0.72 label_I173
I173 4 28 rgba(1,51,235,1.0) 0 0.51 label_I173
I173 2 26 rgba(82,153,10,0.5) 0 1 label_I173
I173 5 25 rgba(222,216,191,1.0) 1 0.11 label_I173
I173 4 44 rgba(193,211,115,0.5) 0 0.12 label_I173
I172 1 49 rgba(47,223,11,0.8) 0 0.43 label_I172
I172 3 44 rgba(184,102,19,0.8) 0 0.36 label_I172
111955 1 13 rgba(224,50,167,0.4) 0 0.78 label_111955
111955 4 35 rgba(29,138,221,0.5) 1 0.76 label_111955
111955 3 30 rgba(4,155,253,0.6) 1 0.56 label_111955
111955 1 17 rgba(50,85,169,0.3) 0 0.78 label_111955
2287 5 38 rgba(30,189,224,0.6) 1 0.15 label_2287
2287 5 36 rgba(251,166,240,0.2) 1 0.35 label_2287
56636 2 16 rgba(245,113,55,0.4) 0 0.3 label_56636
56636 1 25 rgba(239,193,53,0.6) 1 0.1 label_56636
56636 2 38 rgba(169,240,33,0.6) 1 0.59 label_56636
56636 5 45 rgba(19,105,8,0.6) 0 0.1 label_56636
13773 1 16 rgba(201,244,187,0.8) 1 0.31 label_13773
13773 1 44 rgba(93,231,195,0.7) 1 0.43 label_13773
13773 1 10 rgba(239,28,14,0.2) 1 0.76 label_13773
I187 3 10 rgba(83,198,15,0.6) 1 0.25 label_I187
I187 2 24 rgba(13,187,28,0.1) 0 0.8 label_I187
I176 2 11 rgba(42,95,113,0.1) 1 0.41 label_I176
50339 4 49 rgba(62,251,166,0.8) 1 0.42 label_50339
50339 2 50 rgba(196,113,112,0.8) 0 0.33 label_50339
50339 4 50 rgba(2,167,196,0.1) 1 0.29 label_50339
2303 2 37 rgba(116,30,23,0.9) 0 0.5 label_2303
I186 4 42 rgba(199,166,149,0.3) 0 0.63 label_I186
I186 1 26 rgba(35,147,251,0.9) 0 0.92 label_I186
I182 5 41 rgba(174,133,112,0.9) 1 0.96 label_I182
I182 1 19 rgba(78,209,201,0.3) 0 0.66 label_I182
I182 3 30 rgba(66,109,205,0.3) 0 0.21 label_I182
I182 2 24 rgba(84,23,149,0.1) 0 0.16 label_I182
I179 3 11 rgba(54,171,3,0.7) 1 0.43 label_I179
I179 2 26 rgba(135,58,223,0.9) 0 0.93 label_I179
I179 3 32 rgba(176,153,146,0.6) 0 0.14 label_I179
I179 2 27 rgba(91,24,16,0.6) 0 0.82 label_I179
I179 1 40 rgba(218,245,138,0.1) 0 0.68 label_I179
I177 3 48 rgba(40,103,167,0.7) 0 0.99 label_I177
187420 3 38 rgba(32,26,32,1.0) 0 0.6 label_187420
2320 3 15 rgba(7,29,150,0.3) 0 0.99 label_2320
I178 3 21 rgba(71,176,129,1.0) 0 0.05 label_I178
I178 2 29 rgba(79,114,60,0.8) 1 0.72 label_I178
I178 1 18 rgba(232,140,16,0.5) 0 0.04 label_I178
I178 4 37 rgba(205,188,161,0.7) 1 0.86 label_I178
39152 5 10 rgba(160,239,248,0.3) 1 0.53 label_39152
39152 2 39 rgba(98,19,202,0.3) 0 0.35 label_39152
39152 2 47 rgba(160,172,108,0.2) 0 0.91 label_39152
39152 2 17 rgba(141,223,171,0.1) 1 0.21 label_39152
39152 4 34 rgba(133,242,169,0.6) 1 0.91 label_39152
2190 4 24 rgba(144,245,56,0.4) 0 0.61 label_2190
2190 1 27 rgba(173,132,10,0.1) 1 0.79 label_2190
2190 3 30 rgba(128,52,185,0.1) 0 0.85 label_2190
2190 5 25 rgba(212,45,106,0.5) 1 0.52 label_2190
I181 2 39 rgba(81,43,188,1.0) 1 0.7 label_I181
I181 5 48 rgba(253,164,83,0.6) 1 0.97 label_I181
I181 2 46 rgba(99,161,193,0.9) 1 0.54 label_I181
I181 5 11 rgba(179,28,30,0.5) 1 0.71 label_I181
I181 3 31 rgba(75,114,201,0.5) 0 0.15 label_I181
I180 3 45 rgba(174,109,194,0.7) 0 0.36 label_I180
I180 4 44 rgba(9,171,158,0.1) 0 0.9 label_I180
53953 2 21 rgba(97,210,88,0.5) 0 0.46 label_53953
53953 1 27 rgba(20,121,182,0.5) 0 0.91 label_53953
53953 1 29 rgba(251,173,21,0.2) 0 0.32 label_53953
53953 4 20 rgba(87,41,41,1.0) 0 0.01 label_53953
29292 1 17 rgba(107,237,53,0.2) 1 0.95 label_29292
29292 2 21 rgba(28,24,63,0.2) 0 0.76 label_29292
2261 2 37 rgba(88,250,35,0.4) 1 0.16 label_2261
2261 4 15 rgba(166,252,248,0.5) 0 0.91 label_2261
2261 5 50 rgba(90,219,108,0.1) 0 0.16 label_2261
2261 3 42 rgba(22,237,223,0.1) 0 0.72 label_2261
2261 1 50 rgba(212,205,200,0.4) 0 0.53 label_2261
I185 3 16 rgba(144,186,89,0.2) 0 0.72 label_I185
I185 3 23 rgba(182,189,234,0.3) 1 0.05 label_I185
I185 4 37 rgba(121,174,3,0.9) 0 0.62 label_I185
I185 4 41 rgba(175,233,55,0.4) 0 0.34 label_I185
2234 4 29 rgba(201,33,168,0.4) 0 0.49 label_2234
2234 5 39 rgba(213,43,69,0.7) 1 0.28 label_2234
2234 5 31 rgba(160,51,215,0.8) 0 0.57 label_2234
2234 3 40 rgba(118,183,57,0.9) 0 0.99 label_2234
I184 1 28 rgba(0,170,205,0.2) 1 0.72 label_I184
64091 3 22 rgba(180,216,88,0.5) 1 0.83 label_64091
64091 2 25 rgba(20,9,192,0.4) 1 0.03 label_64091
64091 3 49 rgba(44,163,7,0.8) 0 0.42 label_64091
64091 1 36 rgba(14,238,225,0.5) 0 0.82 label_64091
64091 2 36 rgba(113,81,83,0.5) 0 0.16 label_64091
I183 1 40 rgba(134,163,202,0.4) 0 0.87 label_I183
I183 3 43 rgba(77,122,45,0.7) 1 0.89 label_I183
I183 5 42 rgba(115,189,69,0.8) 1 0.1 label_I183
2214 1 18 rgba(98,90,160,0.8) 0 0.81 label_2214
2214 4 38 rgba(101,160,46,0.3) 1 1 label_2214
2214 1 17 rgba(45,42,58,0.9) 1 0.08 label_2214
2214 4 34 rgba(15,64,243,0.7) 0 0.55 label_2214
2209 5 37 rgba(157,145,9,0.9) 0 0.74 label_2209
2209 4 47 rgba(122,60,230,0.8) 0 0.3 label_2209
2209 1 20 rgba(107,199,110,0.4) 1 0.91 label_2209
2209 2 47 rgba(182,140,162,0.8) 1 0.76 label_2209
2209 1 11 rgba(134,243,127,0.4) 1 0.2 label_2209
