DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_heatmap_60

#dataset color (can be changed later)
COLOR #ff0000

#define labels for each individual field column

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#


#Heatmaps can have an optional Newick formatted tree assigned. Its leaf IDs must exactly match the dataset FIELD_LABELS.
#The tree will be used to sort the dataset fields, and will be displayed above the dataset. It can have branch lengths defined.
#All newlines and spaces should be stripped from the tree, and COMMA cannot be used as the dataset separator if a FIELD_TREE is provided.
#FIELD_TREE (((f1,f5),(f2,f3)),(f4,f7));
FIELD_TREE (440-16843009:0.16,(((((((((590-16843009:0.55,530-16843009:0.98):0.54,490-16843009:0.11):0.25,510-16843009:0.23):0.60,(50-16843009:0.42,((420-16843009:0.43,(250-16843009:0.40,40-16843009:0.38):0.03):0.82,(220-16843009:0.06,270-16843009:0.97):0.46):0.21):0.85):0.06,180-16843009:0.10):0.82,110-16843009:0.71):0.19,(((0-1635528704-1:0.10,310-16843009:0.53):0.61,(((580-16843009:0.78,350-16843009:0.38):0.42,(500-16843009:0.97,((30-16843009:0.02,550-16843009:0.23):0.30,(((460-16843009:0.27,90-16843009:0.40):0.85,(320-16843009:0.07,(190-16843009:0.34,((170-16843009:0.97,280-16843009:0.86):0.08,((380-16843009:0.98,70-16843009:0.65):0.40,520-16843009:0.90):0.66):0.89):0.92):0.85):0.11,((370-16843009:0.60,140-16843009:0.60):0.47,(120-16843009:0.61,((80-16843009:0.40,60-16843009:0.85):0.56,300-16843009:0.77):0.46):0.42):0.18):0.95):0.24):0.41):0.46,((360-16843009:0.26,((340-16843009:0.14,400-16843009:0.57):0.67,430-16843009:0.10):0.96):0.81,(((100-16843009:0.97,130-16843009:0.21):0.69,160-16843009:0.07):0.31,(560-16843009:0.30,540-16843009:0.44):0.09):0.72):0.10):0.46):0.79,((240-16843009:0.39,((390-16843009:0.09,470-16843009:0.01):0.14,20-16843009:0.58):0.77):0.87,(260-16843009:0.88,((210-16843009:0.17,(570-16843009:0.18,150-16843009:0.64):0.23):0.36,(330-16843009:0.95,((10-16843009:0.86,(290-16843009:0.24,200-16843009:0.13):0.62):0.42,480-16843009:0.02):0.77):0.41):0.85):0.69):0.47):0.05):0.16,410-16843009:0.91):0.84,(230-16843009:0.81,450-16843009:0.59):0.63):0.09);


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN 0

#width of the individual boxes
STRIP_WIDTH 25

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL 0

#if a FIELD_TREE is present, it can be hidden by setting this option to 0
SHOW_TREE 1

#if a FIELD_TREE is present, it will have this height in pixels 
TREE_HEIGHT 1000

#define the heatmap gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN #ff0000
COLOR_MAX #0000ff

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR 1
COLOR_MID #ffff00

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
FIELD_LABELS 440-16843009 590-16843009 530-16843009 490-16843009 510-16843009 50-16843009 420-16843009 250-16843009 40-16843009 220-16843009 270-16843009 180-16843009 110-16843009 0-1635528704-1 310-16843009 580-16843009 350-16843009 500-16843009 30-16843009 550-16843009 460-16843009 90-16843009 320-16843009 190-16843009 170-16843009 280-16843009 380-16843009 70-16843009 520-16843009 370-16843009 140-16843009 120-16843009 80-16843009 60-16843009 300-16843009 360-16843009 340-16843009 400-16843009 430-16843009 100-16843009 130-16843009 160-16843009 560-16843009 540-16843009 240-16843009 390-16843009 470-16843009 20-16843009 260-16843009 210-16843009 570-16843009 150-16843009 330-16843009 10-16843009 290-16843009 200-16843009 480-16843009 410-16843009 230-16843009 450-16843009
216495 108 -541 541 439 334 -993 158 -6 -486 77 -748 -237 936 -761 -187 121 926 -288 612 -777 351 -206 259 -688 -420 829 -70 524 -634 315 172 -904 -233 -518 -481 -444 278 990 -839 -687 634 23 -547 638 254 793 -792 -648 630 -665 936 979 -117 -378 211 411 456 -623 253 451
216466 941 -732 962 482 804 202 -897 -893 -8 -138 -547 525 56 -708 -842 710 579 -217 -120 -365 -795 685 -791 -394 -943 328 451 956 -29 -102 305 127 595 -792 -602 934 637 920 528 -528 -372 136 850 -394 -360 -330 -376 186 -495 269 -67 159 635 -226 767 458 381 746 -550 -897
1314 865 404 141 -722 -546 -703 -503 -608 -58 385 -848 -93 330 -342 94 -849 864 166 478 -485 235 -820 593 -541 45 -376 827 -759 325 -734 -248 -274 470 546 -907 -736 -501 686 -243 575 -425 210 111 -348 -155 484 -243 230 102 -63 625 257 266 524 -602 261 -876 -417 735 -334
186103 -827 254 575 661 -400 45 260 57 979 -827 -589 986 -993 -562 15 -989 252 244 699 -720 -265 870 -942 -652 -607 306 743 -110 -514 -521 -681 569 -531 -653 -5 -773 -220 521 -727 832 -129 970 263 -824 -162 366 -311 -599 -273 188 373 396 760 295 -291 -934 -944 647 -607 -860
198466 623 409 745 228 -89 -92 585 -667 582 -786 -180 128 -1000 -785 86 344 382 378 -228 -493 59 -67 -381 493 -484 -260 777 290 172 157 -207 634 -924 -268 -363 -233 -119 809 -50 49 -842 -287 875 -561 -178 515 148 -498 -516 -818 242 -746 -733 325 -595 -583 -5 587 -709 -550
193567 -192 805 -412 687 669 -896 471 620 65 970 -863 -818 703 419 257 -269 -866 -416 343 -624 227 -716 -560 181 543 -451 439 657 -612 640 49 657 -305 -941 398 -43 -284 614 488 517 195 530 -331 -69 -247 -989 823 251 858 -138 677 455 190 667 678 -245 -609 -389 244 -85
1309 386 828 728 -392 -513 368 -861 -151 827 -849 -166 287 273 -913 872 -339 -570 -89 -23 210 -702 -823 686 42 185 380 -223 -198 -47 -555 939 -798 -585 -152 780 933 -635 317 636 792 -134 65 -962 -685 -693 918 -187 326 -979 -249 -998 278 778 795 -480 -735 -124 -374 138 -772
171101 702 7 476 729 838 -159 -797 161 -253 -353 -78 -83 717 -133 -770 148 -544 927 -83 95 43 0 774 -802 -445 577 141 -720 -830 -125 181 -117 626 -261 -874 8 -664 -907 333 -561 -634 332 237 134 -978 95 937 492 -183 -725 65 -949 398 651 82 -454 730 129 -555 -185
1313 -773 -248 -767 -895 148 61 -774 -76 -31 -754 586 446 944 -779 979 855 -660 -33 -385 -528 823 23 843 739 -193 222 -960 65 -38 907 166 -968 -285 -618 432 525 -844 596 -429 -932 539 401 716 651 483 326 -525 -389 110 -428 789 737 500 -2 544 -118 642 275 -906 -44
1360 -311 446 -408 -317 163 468 674 155 250 -992 515 703 -488 -380 748 -441 114 -177 551 -831 989 -722 -910 -982 383 948 792 551 -217 488 -323 -425 -802 946 715 273 -348 101 385 633 230 -651 329 -257 313 -332 -385 576 845 -100 690 901 136 908 -48 -543 359 744 693 389
1351 957 -15 -180 -797 -148 -759 -73 88 760 432 -873 307 681 26 -166 835 289 41 966 -585 -747 -133 -491 -454 -552 142 112 197 692 111 -161 -714 300 -875 936 -192 -176 15 -746 969 -515 898 148 47 -447 135 -966 543 -101 -60 -273 365 319 -340 -690 -567 624 -292 192 487
33959 314 713 205 -225 427 -839 680 -299 590 -100 566 -631 -433 -695 844 -673 -768 938 -874 -414 -117 -817 168 952 -445 130 -527 -635 -75 116 36 932 387 -1 59 -928 -459 248 963 -594 -843 -371 659 502 904 -367 181 106 -865 -575 -411 -990 207 690 -862 -304 -240 -343 -300 870
1590 154 -746 -726 928 780 -147 -438 556 737 -307 16 351 -538 6 119 917 527 810 -989 -905 537 557 -585 -899 114 -90 82 -545 -60 -904 -331 -75 -38 581 938 -771 369 826 6 214 -686 55 -575 -139 -56 108 704 572 -369 -422 -787 -706 -14 -860 443 438 -746 -943 423 761
296543 -814 1 354 -11 66 562 -352 829 -620 -485 -221 198 -68 -902 938 535 978 -600 -340 302 -707 821 -990 -76 -590 -447 661 -383 147 735 998 -156 -116 222 727 -736 760 87 -514 -32 110 565 -154 781 818 380 -524 -410 -265 668 -102 -493 935 -196 -49 615 518 16 96 713
237895 -186 41 -898 741 -839 -591 254 -16 -923 -837 -121 10 -194 -833 628 -949 298 910 874 25 957 -152 -256 404 214 515 156 -196 645 -778 806 475 -932 231 13 -984 352 62 550 -923 -957 325 -884 -901 -957 381 -849 376 413 -572 261 726 -423 763 725 -154 -921 -522 807 133
36329 -66 634 -523 770 -134 -452 741 -842 910 -341 276 869 -614 -322 64 -855 -840 -731 -808 -313 -527 922 -566 -339 -847 -946 -980 -332 724 -261 162 676 780 526 707 18 702 -670 273 695 429 -527 -509 -615 143 163 479 304 355 -76 -34 -321 523 -390 -333 220 403 -219 -611 -713
4530 -359 423 -10 -360 797 345 319 -407 -770 796 -558 -20 -417 -707 -225 -426 -288 -931 -751 772 848 -415 -490 -372 -401 221 -504 -767 142 334 565 -226 590 -497 550 -763 862 830 604 -276 -650 40 -635 -556 54 57 -339 923 596 -486 -748 697 502 -960 -978 697 594 -872 678 -842
3702 35 -251 -354 -173 517 58 -367 251 -643 145 999 -272 -418 616 738 379 719 -548 46 -413 -837 487 691 -205 774 734 618 531 -549 -902 -246 -594 125 614 55 49 -949 114 -199 548 100 -159 -729 -976 -848 539 -659 871 -559 -554 982 -337 453 -500 -94 633 -310 338 28 -46
45157 175 -264 -197 644 -716 912 -594 -585 305 535 14 934 444 60 736 284 -46 -25 -605 -469 -736 -812 -541 -686 -324 -899 -670 478 -802 992 -38 242 -473 249 858 43 -9 922 -222 62 889 -149 -467 -839 -366 -118 813 -266 561 714 -2 -310 -897 -227 104 332 -892 458 -115 -303
44689 -489 -324 728 -567 -420 -383 317 -993 -927 -237 -73 -997 -553 -418 -100 697 972 459 348 189 536 973 126 786 11 -844 -181 245 -704 -926 603 -199 -994 245 705 -122 -69 977 -928 920 560 -580 76 -161 -232 -812 566 630 -46 -790 -124 -575 190 897 -36 -945 101 -536 -633 -709
33169 440 -406 805 -158 842 107 -540 273 -561 -227 226 -111 166 -951 -161 557 985 565 -232 643 -728 -930 564 276 -188 -163 -181 -721 440 -682 209 -767 -46 201 578 231 -808 622 956 -815 -870 891 -552 550 606 305 -396 555 169 -71 -362 181 -255 -950 -918 364 -661 832 -448 793
4932 766 146 -344 201 -727 -416 -691 711 730 38 -1000 -117 -573 937 636 287 -707 -519 590 -72 -393 -68 -760 671 -279 -372 427 770 -864 977 -43 -134 -642 -320 -631 932 -420 104 -931 -990 467 999 -941 26 255 942 -476 -335 180 -218 -661 46 -1 447 -363 -8 771 -46 -287 -979
4896 -366 -238 443 -839 282 202 -768 -621 -770 163 -531 952 -343 -815 -707 -426 -151 -886 201 345 -934 879 191 -811 -697 -849 -508 296 128 -279 -829 -83 -752 108 2 952 -382 121 182 -342 -294 585 -781 747 -187 -532 523 619 706 -434 -159 891 994 -944 866 386 -708 -324 -434 -199
180454 285 579 748 -650 454 599 920 769 -121 191 0 -903 413 -964 767 205 -148 -861 790 -711 -399 608 -435 469 321 492 -270 -390 180 795 -470 -765 -371 109 482 -21 217 -473 -973 231 -4 -319 -253 -585 -724 -277 -200 -237 -975 12 348 -820 -645 -540 838 -965 216 223 -193 -935
7227 346 -405 -163 -647 -268 935 311 -663 198 -379 -216 -470 -856 587 863 -265 -753 -677 570 -694 865 65 654 529 536 784 -184 572 706 -781 978 158 -432 905 -794 914 882 -177 -106 40 -304 -909 -975 223 -916 901 790 -147 781 521 496 390 -503 403 774 -647 978 846 296 946
31033 207 284 660 -11 -697 799 -490 -201 -511 -833 634 -704 -732 658 -376 -607 -705 -131 -384 -323 567 907 859 888 -971 -716 687 364 822 858 -461 -691 964 -194 -857 -23 313 127 861 -550 698 647 -667 657 933 -585 -168 192 377 -627 -115 -414 -705 443 -940 419 957 -1 614 -574
7955 79 665 660 212 978 131 664 725 -185 421 524 -571 172 -336 495 -617 -73 461 483 444 -340 -253 -423 -804 -944 839 -17 249 360 -220 -96 757 228 -425 -606 -53 543 -389 -417 -931 274 87 -34 -757 717 -728 -624 209 -727 310 -628 -824 480 815 -14 -976 354 0 623 -158
10116 -223 240 -505 -659 -535 662 -103 398 -983 143 792 -827 -560 912 -394 522 36 -151 -925 -163 288 12 -720 -162 -786 -992 -411 -895 -8 8 -835 -242 573 449 176 -536 -773 -956 508 885 -271 -33 679 -299 -584 -502 -500 455 128 -265 -222 515 41 896 938 -437 441 553 636 -611
10090 -945 -654 -997 893 -597 199 -102 888 -844 579 -975 -364 828 -790 -929 -370 -997 -198 -452 733 -154 -623 -503 -585 -333 253 615 -652 828 198 264 385 -502 -904 -589 -928 919 500 -694 -55 -464 -106 -258 -717 466 901 615 -352 -327 -471 -973 127 -755 705 -4 633 272 -920 408 994
9606 -834 -212 -662 582 313 -270 -340 15 712 -282 -606 -149 -478 657 74 -622 -23 185 -70 825 -451 911 -983 -820 598 460 -36 -511 -96 -368 -335 658 440 -122 240 -499 -307 -525 945 414 588 -698 -442 -534 75 915 -727 -865 345 281 156 107 -448 -862 235 -895 169 198 526 -131
9598 113 -318 454 752 -681 -617 -107 521 -958 600 920 -547 -371 398 335 996 135 -407 -457 712 253 635 358 696 518 135 -404 129 868 -671 -94 -172 787 -272 191 -424 658 11 228 -652 -262 565 909 -530 -926 751 169 -342 -757 -169 875 -433 977 388 798 -901 -196 204 728 -970
9031 706 832 -316 -571 -727 -990 335 -222 -10 432 744 -363 -149 783 994 74 802 -592 -132 474 -352 951 -943 -632 -58 707 -602 -692 -957 -361 -425 589 -336 -739 909 -17 17 -232 422 41 -177 943 974 -711 141 221 301 218 -123 -169 969 -169 956 973 372 -303 -535 549 525 484
6239 -506 489 100 -72 892 44 149 602 -137 -388 23 -500 547 -994 -790 -635 512 -629 -182 -625 -442 521 319 -823 687 -212 583 271 21 -942 -429 -457 -894 273 -869 776 -753 81 346 390 979 -633 104 -430 748 357 112 -232 766 -557 -369 631 796 231 454 789 -204 660 -92 725
6238 -386 -87 757 -50 901 -183 -113 -557 -861 -594 -806 -833 -317 -887 -292 309 -182 -754 -544 524 -534 42 933 435 -186 834 93 388 -333 113 554 -208 733 -838 55 -210 -589 -93 -774 -316 -98 -634 -784 -97 -180 -719 -840 -40 -650 385 -992 232 -696 299 -995 -538 519 -514 75 -117
5664 -442 -17 -786 166 928 -946 -445 332 482 -343 -809 385 139 -912 -638 -611 356 -889 -20 -418 385 -700 -548 94 937 573 436 853 -244 512 -790 -742 941 545 -325 -778 -410 -599 -170 -177 381 370 -459 659 986 -328 -106 -894 181 721 -519 -464 -579 997 472 538 89 383 -850 -577
184922 -936 -196 -968 360 537 591 -749 -655 -718 553 -461 526 -104 -566 694 -242 792 -939 -490 961 -966 -481 -537 -698 705 -437 607 -916 -146 975 -242 -158 -934 694 -477 323 -868 995 -488 263 -188 658 -944 432 452 -140 37 268 -882 -268 4 -391 255 174 124 122 318 465 -891 477
160232 415 426 964 267 -145 171 -452 -417 -289 -274 760 -178 -119 375 886 610 -791 443 -293 -739 -629 -680 -841 250 -359 678 -618 -265 -474 239 -73 6 497 773 116 -782 62 800 1 -9 483 -286 16 771 -153 344 719 -197 -588 -634 -6 -184 -300 -726 46 304 916 -292 995 713
111955 63 -3 -152 871 -550 574 122 -846 -460 617 241 43 -904 990 -295 820 -609 204 -539 287 -395 -934 -607 15 170 -93 8 -6 -371 531 216 577 -811 642 933 -878 195 -328 544 -281 -587 925 823 -469 777 689 -350 -353 -853 -539 621 -517 -230 945 -591 -693 21 824 891 381
2287 882 -510 52 -200 -939 397 713 756 988 -968 973 684 -329 -580 -114 922 668 807 -651 -529 683 835 951 377 233 260 509 992 314 287 61 -692 -332 508 320 675 142 -713 904 806 825 681 -734 323 131 -169 176 29 483 70 182 125 255 195 -667 422 -555 295 -763 478
56636 -725 -77 -186 -829 -485 -182 918 910 -711 866 539 -945 -419 -319 869 292 -345 -424 15 576 -149 253 125 217 638 -648 -626 -817 -394 -427 -160 861 -832 247 -213 451 -934 450 411 -812 -526 137 31 -524 277 566 828 -22 -952 -911 -688 -53 -450 -364 995 237 -243 -413 -201 910
13773 407 373 -278 553 1 334 -838 835 906 425 -887 855 -812 -762 589 -292 955 371 -2 -898 112 2 439 -776 580 -443 -613 -679 909 -756 -497 835 -923 -611 132 638 804 115 -419 708 -216 -489 -408 203 208 713 244 -933 -967 -658 -463 478 30 430 -435 64 -517 -561 958 941
50339 -711 -740 601 208 521 -783 -892 668 554 -804 503 -324 264 -364 -601 -297 8 713 -679 99 880 388 164 -352 163 -137 -119 184 -769 -872 -111 810 550 -733 -872 -900 557 169 864 137 -268 890 653 -985 -403 -281 738 198 881 857 175 -523 49 -582 61 -216 -866 724 -273 -531
2303 -104 693 -285 -746 854 -224 595 -224 -807 -535 -739 -202 711 520 875 -205 556 142 -65 -315 -668 528 -892 33 -700 91 -3 551 -524 865 -962 4 -805 -362 -807 5 -646 -508 -107 -941 -984 -872 928 435 -326 -449 581 21 -228 417 -665 -653 838 486 -388 542 -19 -228 932 -124
187420 -515 -711 -680 155 115 -801 -800 -542 -855 -893 -376 -106 -286 -683 -363 -202 -644 -333 -410 -33 157 -494 -771 57 -929 -353 870 -719 144 855 350 -538 921 -620 -14 108 -877 -699 -753 -585 356 281 543 137 -918 439 -852 903 -737 905 976 118 -21 -632 -692 -423 156 397 841 351
2320 -361 -935 -304 373 419 -486 -850 598 176 -579 576 -377 -634 860 -282 49 -647 294 -749 -97 -173 -713 480 -803 -223 846 -963 -310 -272 -985 -407 -287 728 298 -647 -119 843 -332 -129 50 79 -750 -814 -612 254 -552 -161 -997 832 -67 -939 -689 -546 982 109 832 -267 655 -932 -902
39152 -842 -571 -293 207 380 -174 -957 449 -444 206 355 138 789 -562 298 443 807 -444 816 834 698 -193 -996 -269 -26 -474 -381 313 741 603 386 33 545 -107 -96 -329 42 288 340 146 916 254 -29 68 -306 253 -94 -667 -287 639 -98 -422 -290 -588 705 -908 -385 798 318 -119
2190 788 -532 -33 460 -775 -699 -448 218 567 -963 -57 236 -925 320 -847 -53 286 73 -797 -884 -978 -124 -670 364 -178 -732 -383 -261 562 887 670 -87 823 616 560 882 811 -421 -79 -443 -170 150 -132 -740 -13 468 -378 -444 -802 -811 24 -21 136 -513 -950 -268 -773 -435 324 -399
53953 965 -462 -322 220 495 -521 -286 -164 -109 812 345 -29 908 346 563 718 -426 40 -847 864 -617 -50 -784 -42 -344 -804 -65 776 576 -643 485 -960 -420 202 527 350 612 955 -883 658 852 -364 631 -583 700 397 634 164 600 -399 813 219 87 354 -814 543 -879 -582 -134 -657
29292 886 313 236 24 514 -591 589 -596 -62 -513 898 -335 448 233 -175 -800 911 233 1 980 -704 -132 -838 -450 -410 -385 -839 -825 -273 -946 697 -452 104 916 242 678 589 101 17 -558 368 750 -90 -467 334 -226 458 -852 322 -564 -533 -519 792 911 647 799 136 331 -218 854
2261 -702 320 -422 738 -428 88 483 84 573 -594 496 181 459 227 931 -194 -504 87 -72 404 747 857 -776 496 432 958 352 788 -105 -703 580 -5 -99 476 441 -483 -105 -123 647 -672 -117 -647 -488 933 841 158 -349 -535 -329 -739 589 855 -658 4 90 861 419 -493 -844 -879
2234 -560 -993 28 756 948 357 897 -76 965 41 -534 -764 -676 -520 -996 122 871 301 128 160 86 66 875 -825 -758 485 -884 -241 114 961 513 822 -637 609 411 258 712 993 -723 866 -417 926 72 280 -86 -66 769 -828 779 -421 201 815 -694 658 -333 -549 -567 509 -605 891
64091 45 17 585 -710 819 -455 -54 -51 275 -938 10 -462 -379 427 -434 -161 652 18 -390 972 -239 484 -124 465 441 -665 410 234 670 -47 -404 462 345 -399 -47 485 469 -696 -459 -214 -973 741 565 629 -258 -855 372 -761 -628 -363 -537 636 -250 847 489 -920 -244 -201 305 -808
2214 89 335 753 555 -248 755 -48 890 413 191 233 853 -580 -265 413 594 661 -340 -473 -411 -813 604 37 -187 744 872 44 156 -49 -645 390 384 -74 -919 306 -979 920 351 849 923 -691 -355 -439 -784 -560 86 842 205 322 154 -131 993 702 -311 882 -141 426 -502 -700 -982
2209 907 -465 -981 -613 -703 45 -845 -44 -984 960 -376 151 164 822 -581 -85 -117 -274 -24 -411 -710 -281 318 -37 -509 -885 -895 -573 -341 430 -269 517 -945 -946 229 911 344 -284 -225 181 622 -520 -692 394 -178 609 -117 -19 780 -73 -296 -958 10 458 528 -695 -462 983 -243 -293
